             num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
10,0.995927187,0.987826129,0.975785458,0.959936856,0.940453563,0.917548404,0.891471373,0.862506795,0.830970105,0.79720427,0.761575914,0.724471176,0.686291358,0.647448406,0.608360286,0.569446302,0.531122406,0.493796565,0.457864228,0.423703947,0.391673201,0.362104469,0.335301595,0.311536486,0.291046175,0.274030278,0.26064888,0.251020857,0.245222657,0.243287557,0.245205377,0.250922677,0.260343413,0.273330043,0.28970507,0.309253,0.331722683,0.356830016,0.384260962,0.413674866,0.44470801,0.476977377,0.510084576,0.54361989,0.577166393,0.6103041,0.642614099,0.673682633,0.703105073,0.730489766,0.755461696,0.777665946,0.79677092,0.81247129,0.824490666,0.832583943,0.836539329,0.836180036,0.831365613,0.821992946,0.807996887,0.789350551,0.766065264,0.738190181,0.705811586,0.669051892,0.628068356,0.583051529,0.534223469,0.481835735,0.426167183,0.367521608,0.306225226,0.242624059,0.177081215,0.109974113,0.041691663,-0.027368575,-0.096803219,-0.166205875,-0.235169904,-0.303291118,-0.370170413,-0.435416297,-0.498647324,-0.559494409,-0.617603023,-0.672635255,-0.724271736,-0.772213428,-0.816183261,-0.855927624,-0.891217714,-0.921850723,-0.947650885,-0.968470369,-0.98419002,-0.994719954,-1
11,0.588540005,0.593863325,0.601747777,0.61207464,0.624688787,0.639401318,0.65599278,0.674216897,0.693804764,0.714469422,0.735910732,0.757820482,0.77988762,0.80180353,0.823267264,0.843990634,0.863703073,0.882156191,0.899127929,0.914426254,0.927892318,0.939403024,0.948872964,0.95625567,0.961544176,0.964770858,0.96600656,0.965359019,0.962970599,0.959015381,0.95369565,0.94723783,0.939887943,0.931906652,0.923563988,0.915133834,0.906888264,0.899091841,0.891995954,0.885833318,0.880812701,0.87711401,0.87488379,0.874231243,0.87522483,0.877889531,0.882204812,0.888103349,0.895470551,0.904144883,0.913919021,0.92454182,0.935721084,0.947127102,0.95839691,0.969139228,0.978939995,0.987368429,0.993983534,0.998340941,1,0.998531008,0.993522458,0.984588212,0.971374471,0.953566439,0.930894575,0.903140329,0.870141267,0.831795499,0.788065328,0.738980064,0.684637931,0.625207047,0.560925426,0.492100006,0.41910469,0.342377422,0.262416328,0.179774958,0.095056691,0.00890837,-0.077986748,-0.164916639,-0.251148658,-0.335938065,-0.418536827,-0.498202565,-0.574207536,-0.645847512,-0.712450442,-0.773384779,-0.828067343,-0.875970621,-0.916629398,-0.949646625,-0.974698441,-0.99153828,-1
12,-0.565112578,-0.574961177,-0.589473538,-0.608342056,-0.631164903,-0.657452975,-0.686638365,-0.718084205,-0.751095734,-0.784932403,-0.818820807,-0.851968246,-0.883576675,-0.912856827,-0.93904226,-0.9614031,-0.979259256,-0.99199287,-0.999059811,-1,-0.994446406,-0.982132546,-0.96289836,-0.936694363,-0.903583988,-0.863744073,-0.817463478,-0.765139839,-0.707274507,-0.644465729,-0.577400197,-0.506843065,-0.433626605,-0.358637668,-0.282804147,-0.207080664,-0.132433681,-0.059826306,0.009796999,0.075525534,0.136497078,0.191911964,0.241046275,0.283263956,0.31802764,0.344908003,0.363591495,0.37388631,0.3757265,0.369174139,0.354419508,0.331779275,0.301692689,0.264715842,0.221514059,0.172852552,0.119585448,0.062643362,0.00301971,-0.058244055,-0.12007403,-0.181380069,-0.241072333,-0.298077944,-0.351357485,-0.399921085,-0.442843843,-0.479280353,-0.508478092,-0.529789472,-0.54268236,-0.546748891,-0.541712447,-0.527432674,-0.503908455,-0.471278798,-0.429821594,-0.379950283,-0.322208448,-0.257262432,-0.185892068,-0.108979668,-0.027497431,0.057506547,0.144923448,0.233599869,0.322354672,0.409996296,0.49534028,0.577226707,0.654537336,0.726212136,0.791264987,0.848798302,0.898016352,0.938237085,0.968902267,0.989585788,1
13,-0.01720753,-0.002044452,0.020423364,0.049868071,0.085859656,0.127871917,0.17528976,0.227417724,0.283489612,0.342679083,0.404111055,0.466873758,0.530031272,0.59263635,0.653743371,0.712421215,0.767765897,0.818912774,0.865048151,0.905420134,0.939348573,0.966233963,0.985565179,0.996925955,1,0.994574716,0.980543449,0.957906276,0.926769303,0.887342525,0.839936261,0.78495625,0.722897484,0.654336863,0.57992482,0.50037601,0.41645924,0.328986762,0.238803115,0.14677367,0.053773042,-0.03932645,-0.131666119,-0.222411874,-0.310764664,-0.395970255,-0.477328202,-0.554199911,-0.626015666,-0.692280561,-0.75257924,-0.806579415,-0.854034122,-0.894782706,-0.928750539,-0.955947508,-0.976465305,-0.990473597,-0.998215152,-1,-0.996198772,-0.9872353,-0.973578632,-0.955734595,-0.934237034,-0.909638895,-0.882503275,-0.853394597,-0.822870041,-0.79147137,-0.759717269,-0.728096311,-0.69706066,-0.667020586,-0.638339874,-0.611332181,-0.586258381,-0.563324919,-0.542683182,-0.524429873,-0.508608363,-0.495210965,-0.484182084,-0.475422152,-0.468792278,-0.464119495,-0.461202506,-0.459817814,-0.45972611,-0.460678793,-0.462424502,-0.464715526,-0.467313979,-0.469997619,-0.4725652,-0.474841263,-0.476680264,-0.477969987,-0.478634143
14,-0.827883881,-0.80692713,-0.775800384,-0.734869364,-0.684614523,-0.625625032,-0.558591403,-0.484296872,-0.403607637,-0.317462101,-0.226859253,-0.132846345,-0.036506036,0.061056835,0.158728661,0.255400506,0.349981362,0.441411087,0.528672835,0.610804819,0.686911272,0.756172453,0.817853589,0.871312633,0.91600676,0.951497526,0.977454631,0.993658262,1,0.9964823,0.983216564,0.960419864,0.92841037,0.887601575,0.838495394,0.781674282,0.717792452,0.647566372,0.571764643,0.491197442,0.406705655,0.319149868,0.229399376,0.138321344,0.046770281,-0.044422046,-0.134456112,-0.222573447,-0.308064648,-0.390276486,-0.468618055,-0.542565877,-0.611667929,-0.675546566,-0.733900326,-0.786504616,-0.833211314,-0.873947319,-0.908712097,-0.937574306,-0.960667563,-0.978185454,-0.990375886,-0.997534894,-1,-0.998143269,-0.992364161,-0.983082304,-0.970730315,-0.955746773,-0.938569451,-0.919628927,-0.899342634,-0.878109468,-0.856304992,-0.834277316,-0.812343688,-0.790787827,-0.769858019,-0.749765982,-0.730686479,-0.712757662,-0.696082117,-0.680728543,-0.666734025,-0.654106819,-0.642829582,-0.632862953,-0.624149403,-0.616617258,-0.61018481,-0.604764409,-0.600266453,-0.596603189,-0.593692234,-0.591459753,-0.589843207,-0.588793638,-0.588277411
15,0.928799447,0.928292797,0.927565673,0.926656506,0.925614911,0.92450033,0.923380387,0.922328989,0.921424198,0.920745928,0.92037351,0.920383161,0.920845424,0.921822619,0.923366359,0.925515184,0.928292366,0.931703918,0.935736871,0.940357848,0.945511967,0.951122115,0.957088607,0.963289251,0.969579833,0.975795022,0.98174969,0.987240649,0.992048763,0.995941438,0.998675438,1,0.9996602,0.997400524,0.992968593,0.98611898,0.976617064,0.964242869,0.948794807,0.930093282,0.907984094,0.882341572,0.853071393,0.820113044,0.783441857,0.743070604,0.699050603,0.651472314,0.600465404,0.546198272,0.488877031,0.428743949,0.366075366,0.301179112,0.234391444,0.166073549,0.096607659,0.026392818,-0.044159634,-0.114630806,-0.18459915,-0.25364546,-0.321357885,-0.387336893,-0.451200111,-0.512586983,-0.571163159,-0.626624568,-0.678701098,-0.727159852,-0.771807897,-0.812494497,-0.849112774,-0.881600776,-0.909941936,-0.93416491,-0.954342793,-0.970591723,-0.98306889,-0.991969972,-0.997526047,-1,-0.999682496,-0.996887568,-0.991947876,-0.98520972,-0.977027853,-0.967760205,-0.957762548,-0.947383226,-0.936957983,-0.926805001,-0.917220189,-0.908472814,-0.900801521,-0.894410815,-0.889468041,-0.886100913,-0.884395639
16,0.99185251,0.975682274,0.951736777,0.920382276,0.882097916,0.837468044,0.787172821,0.731977306,0.672719163,0.61029521,0.545646998,0.479745687,0.413576416,0.348122462,0.284349408,0.223189589,0.16552706,0.112183336,0.063904117,0.021347229,-0.014928044,-0.044470042,-0.066942098,-0.082128066,-0.089935916,-0.090399337,-0.083677323,-0.070051744,-0.049922933,-0.023803366,0.007690477,0.04384793,0.083875504,0.126909594,0.172030345,0.218276454,0.26466067,0.310185755,0.353860642,0.394716543,0.431822746,0.464301847,0.491344183,0.512221224,0.526297717,0.533042382,0.532036994,0.522983694,0.505710421,0.480174359,0.446463362,0.404795307,0.355515394,0.299091437,0.236107191,0.167253848,0.093319805,0.015178878,-0.066222864,-0.149881442,-0.234750248,-0.319756057,-0.403815488,-0.485851678,-0.564810892,-0.639678833,-0.709496361,-0.773374407,-0.83050783,-0.880187997,-0.921813894,-0.954901596,-0.979091927,-0.994156211,-1,-0.996664735,-0.984327299,-0.963297472,-0.934013325,-0.897034614,-0.853034292,-0.802788245,-0.747163433,-0.687104599,-0.62361977,-0.557764757,-0.490626903,-0.423308336,-0.356908976,-0.292509559,-0.231154963,-0.173838063,-0.121484394,-0.074937845,-0.03494761,-0.002156604,0.02290848,0.039845324,0.048382206
17,0.247051174,0.259719731,0.278467923,0.30299424,0.332903372,0.367711837,0.406854852,0.449694362,0.495528109,0.543599601,0.593108854,0.643223731,0.693091747,0.741852132,0.788648017,0.832638547,0.873010754,0.908991024,0.939856005,0.964942781,0.983658199,0.995487189,1,0.996858216,0.985819505,0.966741016,0.939581403,0.904401442,0.861363241,0.810728075,0.752852872,0.688185411,0.617258325,0.540681977,0.45913634,0.373361992,0.28415037,0.192333416,0.098772777,0.00434871,-0.090051143,-0.18354296,-0.275257751,-0.364352038,-0.450018049,-0.531493288,-0.608069358,-0.679099914,-0.744007656,-0.802290274,-0.853525267,-0.897373606,-0.933582184,-0.961985061,-0.982503498,-0.995144797,-1,-0.997240499,-0.987113621,-0.969937289,-0.946093848,-0.916023172,-0.880215168,-0.839201811,-0.793548826,-0.743847181,-0.690704492,-0.634736499,-0.576558737,-0.516778523,-0.455987378,-0.394754002,-0.333617877,-0.273083609,-0.21361606,-0.155636335,-0.099518666,-0.045588211,0.005880215,0.054662489,0.100584631,0.143521392,0.183394037,0.220167384,0.253846175,0.284470869,0.312112963,0.336869925,0.358859861,0.378216035,0.395081338,0.40960283,0.421926469,0.432192117,0.440528941,0.447051284,0.451855096,0.455014991,0.45658199
18,0.986073811,0.958420463,0.917435006,0.86370254,0.797989372,0.721231443,0.634520196,0.539086106,0.436280138,0.327553391,0.214435274,0.098510526,-0.018604552,-0.135286296,-0.249927929,-0.360963499,-0.466891127,-0.566295221,-0.657867307,-0.74042516,-0.812929953,-0.874501153,-0.924428948,-0.962184013,-0.987424481,-1,-0.999952844,-0.987516055,-0.963108648,-0.927327985,-0.880939412,-0.824863359,-0.76016009,-0.688012357,-0.609706235,-0.52661043,-0.440154414,-0.351805697,-0.263046624,-0.175351043,-0.090161221,-0.008865356,0.067223948,0.136889931,0.199030305,0.252674018,0.296995848,0.331328639,0.355172984,0.368204205,0.37027653,0.361424423,0.341861031,0.311973811,0.272317385,0.223603772,0.16669014,0.102564289,0.0323281,-0.042820775,-0.121608696,-0.202706969,-0.284753586,-0.366375429,-0.446210592,-0.52293044,-0.595261079,-0.662003878,-0.722054732,-0.77442174,-0.818241044,-0.852790557,-0.877501378,-0.891966715,-0.895948166,-0.88937928,-0.872366332,-0.845186308,-0.808282139,-0.762255268,-0.707855659,-0.645969434,-0.577604318,-0.503873144,-0.42597568,-0.345179068,-0.262797202,-0.180169363,-0.098638471,-0.01952929,0.055873055,0.126343901,0.190738888,0.248012485,0.297234913,0.337607185,0.368474034,0.389334507,0.399850068
19,-0.995096327,-0.985303267,-0.970649594,-0.95117897,-0.926950533,-0.898039646,-0.864538785,-0.826558543,-0.784228703,-0.737699352,-0.687141991,-0.632750592,-0.574742562,-0.513359569,-0.448868178,-0.381560262,-0.311753137,-0.239789392,-0.166036378,-0.090885318,-0.014750035,0.061934739,0.138715465,0.215122325,0.290672155,0.364871782,0.43722174,0.507220322,0.574367947,0.638171789,0.698150613,0.753839769,0.804796268,0.850603887,0.890878221,0.925271614,0.953477894,0.975236831,0.990338263,0.99862579,1,0.994421139,0.981911187,0.962555274,0.936502406,0.903965467,0.865220461,0.820604998,0.770516002,0.715406668,0.655782665,0.592197639,0.525248025,0.455567256,0.38381939,0.310692258,0.236890185,0.163126392,0.090115145,0.018563774,-0.050835356,-0.117412817,-0.18052992,-0.239586248,-0.29402683,-0.343348836,-0.387107721,-0.424922715,-0.456481591,-0.481544634,-0.499947752,-0.511604677,-0.516508221,-0.514730558,-0.506422519,-0.491811904,-0.471200814,-0.444962041,-0.413534547,-0.377418089,-0.337167046,-0.293383534,-0.246709886,-0.197820588,-0.147413784,-0.09620245,-0.04490535,0.005762102,0.055096963,0.102417745,0.147073136,0.188450352,0.225983009,0.259158406,0.287524129,0.310693876,0.328352448,0.340259809,0.346254195
